arxiv_id,title,authors,year,venue,perspective,categories,contribution_type,relevance_to_RP,found_by_count,pdf_filename,url
2303.12570,RepoCoder: Repository-Level Code Completion Through Iterative Retrieval and Generation,Fengji Zhang et al.,2023,EMNLP 2023,AI/NLP,repo-level-codegen; retrieval-augmented; structure-aware-codegen; knowledge-grounded-codegen,Method; Benchmark,"RepoCoder's iterative retrieval over repository files directly addresses the Z/Spatial axis of TAC-Graph by exploiting cross-file code structure to provide relevant context, and its RepoEval benchmark could serve as an evaluation testbed for TAC-Graph's Form A (DSL-based context querying) for repo-level completion. The retrieval-augmented generation loop also parallels TAC-Graph's goal of pruning agent search by surfacing precise historical and structural context.",2,2303.12570.pdf,https://arxiv.org/abs/2303.12570
2306.03091,RepoBench: Benchmarking Repository-Level Code Auto-Completion Systems,Tianyang Liu et al.,2023,arXiv preprint,AI/NLP,repo-level-codegen; retrieval-augmented; swe-benchmark; structure-aware-codegen,Benchmark; Task-definition,RepoBench directly addresses the Spatial (Z) axis of TAC-Graph by requiring cross-file context retrieval that maps to file dependency and call-graph structure. Its retrieval and next-line prediction tasks are natural downstream evaluation targets for TAC-Graph's Form A (DSL-based context querying) and knowledge-grounded completion from the full 3D tensor.,1,2306.03091.pdf,https://arxiv.org/abs/2306.03091
2310.11248,CrossCodeEval: A Diverse and Multilingual Benchmark for Cross-File Code Completion,Yangruibo Ding et al.,2023,NeurIPS 2023 (Datasets and Benchmarks Track),AI/NLP,repo-level-codegen; retrieval-augmented; swe-benchmark; structure-aware-codegen,Benchmark; Task-definition,CrossCodeEval directly benchmarks the retrieval of cross-file context — the Spatial (Z) axis of TAC-Graph — making it a key evaluation reference for Form A's DSL query mechanism that pulls precise cross-file structural context. Its static-analysis-based dependency identification aligns with TAC-Graph's code-graph construction and validates the need for repository-level spatial representations beyond single-file ASTs.,1,2310.11248.pdf,https://arxiv.org/abs/2310.11248
2306.10998,RepoFusion: Training Code Models to Understand Your Repository,Disha Shrivastava et al.,2023,arXiv preprint,AI/NLP,repo-level-codegen; retrieval-augmented; knowledge-grounded-codegen; structure-aware-codegen,Method; Benchmark,"RepoFusion directly addresses the Z/Spatial axis of TAC-Graph by injecting repository structural context (imports, class hierarchies) into code models, illustrating how cross-dimension projection of repo structure can improve code completion. The Stack-Repo dataset and context-type ablations provide concrete baselines for evaluating TAC-Graph's history-aware AST and Form A query-based context retrieval.",1,2306.10998.pdf,https://arxiv.org/abs/2306.10998
2212.10007,CoCoMIC: Code Completion By Jointly Modeling In-file and Cross-file Context,Yangruibo Ding et al.,2022,arXiv preprint,AI/NLP,repo-level-codegen; retrieval-augmented; structure-aware-codegen; knowledge-grounded-codegen,Method,"CoCoMIC directly addresses the Z/Spatial axis of TAC-Graph by retrieving cross-file structural dependencies (imports, API calls) to augment code completion, which aligns with TAC-Graph's code-graph and file-dependency layers. The CCFINDER retrieval mechanism is analogous to TAC-Graph's Form A (DSL-based querying of spatial context), demonstrating how structured cross-file context retrieval improves coding agent performance.",1,2212.10007.pdf,https://arxiv.org/abs/2212.10007
2206.12839,Repository-Level Prompt Generation for Large Language Models of Code,Disha Shrivastava et al.,2023,ICML 2023,AI/NLP,repo-level-codegen; retrieval-augmented; knowledge-grounded-codegen; structure-aware-codegen,Method,"This work directly addresses the Z/Spatial axis of TAC-Graph by mining repository structure (imports, file dependencies) to construct context-rich prompts, paralleling TAC-Graph's Form A DSL that queries the spatial code graph for relevant context. It also serves as a baseline for how much improvement repo-level context retrieval can provide to coding agents, a key downstream use case for TAC-Graph.",1,2206.12839.pdf,https://arxiv.org/abs/2206.12839
2312.05772,"A^3-CodGen: A Repository-Level Code Generation Framework for Code Reuse with Local-Aware, Global-Aware, and Third-Party-Library-Aware",Dianshu Liao et al.,2023,arXiv preprint,AI/NLP,repo-level-codegen; retrieval-augmented; structure-aware-codegen; api-knowledge,Method,"This paper directly addresses TAC-Graph's Z/Spatial axis by leveraging repository structure (local file context, cross-file dependencies, and external API knowledge) for code generation, analogous to TAC-Graph's code-graph and call-graph components. Its three-tier context hierarchy (local, global, library) maps naturally onto TAC-Graph's Form A DSL querying strategy for pulling precise spatial context into a coding agent.",1,2312.05772.pdf,https://arxiv.org/abs/2312.05772
2403.10059,Repoformer: Selective Retrieval for Repository-Level Code Completion,Di Wu et al.,2024,ICML 2024,AI/NLP,repo-level-codegen; retrieval-augmented; structure-aware-codegen; context-compression,Method; Benchmark,"Repoformer's selective retrieval over repository context directly informs TAC-Graph's Z (Spatial) axis by demonstrating how code structure and cross-file dependencies can be selectively pulled into generation, analogous to Form A's Query(Target, History, Agent_Trace) DSL that retrieves precise context on demand. Its self-evaluation mechanism for deciding when retrieval helps is relevant to TAC-Graph's Trajectory Optimization task, where pruning unnecessary context lookups mirrors pruning wasteful agent search steps.",1,2403.10059.pdf,https://arxiv.org/abs/2403.10059
2403.06095,RepoHyper: Search-Expand-Refine on Semantic Graphs for Repository-Level Code Completion,Huy N. Phan et al.,2024,arXiv preprint,AI/NLP,repo-level-codegen; code-graph; retrieval-augmented; structure-aware-codegen,Method,"The RSG construction directly maps to TAC-Graph's Z/Spatial axis (code structure, file dependencies, call graphs), and the graph-expansion retrieval strategy is relevant to Form A's QueryDSL that pulls precise cross-file context. It serves as a strong baseline for repo-level graph retrieval that TAC-Graph extends by adding temporal and agentic axes.",1,2403.06095.pdf,https://arxiv.org/abs/2403.06095
2405.19782,Dataflow-Guided Retrieval Augmentation for Repository-Level Code Completion,Wei Cheng et al.,2024,ACL 2024,AI/NLP,repo-level-codegen; retrieval-augmented; code-graph; structure-aware-codegen,Method; Benchmark,"DraCo's dataflow-based repository graph directly instantiates TAC-Graph's Z (Spatial) axis by linking code entities through data-flow relations for context retrieval, demonstrating a concrete technique for the cross-dimension projection goal. The ReccEval benchmark and retrieval framing also inform Form A (DSL-style querying of structured repo context) by showing how graph-derived structure can sharpen LLM code completion.",1,2405.19782.pdf,https://arxiv.org/abs/2405.19782
